"日付け","終値","始値","高値","安値","出来高","変化率 %"
"2025-01-17","156.30","155.17","156.39","154.98","","0.76%"
"2025-01-16","155.12","156.48","156.54","155.10","","-0.86%"
"2025-01-15","156.47","157.98","158.10","155.95","","-0.94%"
"2025-01-14","157.96","157.48","158.23","157.11","","0.31%"
"2025-01-13","157.47","157.78","157.98","156.90","","-0.14%"
"2025-01-10","157.69","158.12","158.89","157.22","","-0.28%"
"2025-01-09","158.14","158.36","158.40","157.57","","-0.13%"
"2025-01-08","158.35","158.04","158.57","157.90","","0.21%"
"2025-01-07","158.02","157.63","158.43","157.36","","0.27%"
"2025-01-06","157.60","157.24","157.98","156.24","","0.21%"
"2025-01-03","157.27","157.54","157.57","156.88","","-0.16%"
"2025-01-02","157.52","157.26","157.87","156.43","","0.41%"
"2025-01-01","156.87","157.20","157.24","156.87","","-0.20%"
"2024-12-31","157.18","156.85","157.60","156.01","","0.22%"
"2024-12-30","156.83","157.74","158.09","156.67","","-0.63%"
"2024-12-27","157.82","157.88","158.01","157.35","","-0.11%"
"2024-12-26","158.00","157.21","158.10","157.07","","0.38%"
"2024-12-25","157.40","157.16","157.51","156.98","","0.14%"
"2024-12-24","157.18","157.15","157.43","156.88","","0.01%"
"2024-12-23","157.16","156.48","157.32","156.34","","0.48%"
"2024-12-20","156.41","157.45","157.93","155.95","","-0.65%"
"2024-12-19","157.43","154.82","157.82","154.43","","1.70%"